iter	Passed	Remaining
455	921	1098
456	922	1096
457	924	1093
458	925	1091
459	927	1088
460	928	1085
461	930	1083
462	931	1080
463	933	1078
464	934	1075
465	936	1072
466	937	1070
467	939	1067
468	940	1065
469	942	1062
470	943	1059
471	945	1057
472	946	1054
473	948	1052
474	949	1049
475	951	1047
476	952	1044
477	954	1042
478	955	1039
479	957	1036
480	958	1034
481	960	1031
482	961	1029
483	963	1026
484	964	1024
485	966	1021
486	967	1019
487	969	1016
488	970	1014
489	972	1011
490	973	1009
491	975	1007
492	976	1004
493	978	1002
494	980	1000
495	981	997
496	983	995
497	985	993
498	986	990
499	988	988
500	989	985
501	991	983
502	992	981
503	994	978
504	995	976
505	997	973
506	999	971
507	1000	969
508	1002	966
509	1003	964
510	1005	962
511	1007	959
512	1008	957
513	1010	955
514	1012	953
515	1013	951
516	1015	948
517	1017	946
518	1018	944
519	1020	942
520	1022	939
521	1024	937
522	1025	935
523	1027	933
524	1029	931
525	1031	929
526	1032	927
527	1034	924
528	1036	922
529	1037	920
530	1039	918
531	1041	916
532	1043	914
533	1045	912
534	1046	909
535	1048	907
536	1050	905
537	1051	903
538	1053	901
539	1055	899
540	1057	897
541	1059	894
542	1060	892
543	1062	890
544	1064	888
545	1065	886
546	1067	884
547	1069	882
548	1071	880
549	1073	878
550	1074	875
551	1076	873
552	1078	871
553	1079	869
554	1081	866
555	1083	864
556	1085	863
557	1087	861
558	1089	859
559	1092	858
560	1094	856
561	1096	854
562	1098	852
563	1099	850
564	1101	848
565	1103	846
566	1105	844
567	1108	842
568	1110	840
569	1111	838
570	1113	836
571	1115	834
572	1117	832
573	1119	830
574	1121	829
575	1123	827
576	1126	825
577	1127	823
578	1129	821
579	1131	819
580	1132	816
581	1134	814
582	1136	812
583	1137	810
584	1139	808
585	1140	806
586	1142	803
587	1144	801
588	1145	799
589	1147	797
590	1148	795
591	1150	792
592	1152	790
593	1153	788
594	1155	786
595	1156	784
596	1158	781
597	1159	779
598	1161	777
599	1162	775
600	1164	773
601	1165	770
602	1167	768
603	1169	766
604	1170	764
605	1172	762
606	1173	760
607	1175	757
608	1177	755
609	1178	753
610	1180	751
611	1181	749
612	1183	747
613	1184	744
614	1186	742
615	1188	740
616	1189	738
617	1191	736
618	1193	734
619	1194	732
620	1202	733
621	1204	731
622	1205	729
623	1207	727
624	1209	725
625	1210	723
626	1212	721
627	1213	718
628	1215	716
629	1216	714
630	1218	712
631	1220	710
632	1221	708
633	1223	706
634	1224	703
635	1226	701
636	1227	699
637	1229	697
638	1230	695
639	1232	693
640	1233	691
641	1235	688
642	1236	686
643	1238	684
644	1240	682
645	1241	680
646	1242	678
647	1244	675
648	1246	673
649	1248	672
650	1249	670
651	1251	667
652	1253	665
653	1254	663
654	1256	661
655	1257	659
656	1259	657
657	1260	655
658	1262	653
659	1263	650
660	1265	648
661	1267	647
662	1269	645
663	1270	642
664	1272	640
665	1273	638
666	1275	636
667	1276	634
668	1278	632
669	1279	630
670	1281	628
671	1283	626
672	1284	624
673	1286	622
674	1287	619
675	1289	617
676	1290	615
677	1293	614
678	1295	612
679	1296	610
680	1298	608
681	1299	606
682	1301	603
683	1302	601
684	1304	599
685	1305	597
686	1307	595
687	1309	593
688	1310	591
689	1312	589
690	1313	587
691	1315	585
692	1316	583
693	1318	581
694	1319	579
695	1321	577
696	1322	575
697	1324	573
698	1326	571
699	1327	569
700	1329	567
701	1330	564
702	1332	562
703	1333	560
704	1335	558
705	1336	556
706	1338	554
707	1339	552
708	1341	550
709	1342	548
710	1344	546
711	1345	544
712	1347	542
713	1348	540
714	1350	538
715	1351	536
716	1353	534
717	1354	532
718	1356	530
719	1358	528
720	1359	526
721	1360	524
722	1362	521
723	1363	519
724	1365	518
725	1367	516
726	1369	514
727	1370	512
728	1372	510
729	1374	508
730	1375	506
731	1377	504
732	1378	502
733	1380	500
734	1381	498
735	1383	496
736	1385	494
737	1387	492
738	1388	490
739	1390	488
740	1392	486
741	1393	484
742	1395	482
743	1397	480
744	1398	478
745	1400	476
746	1402	474
747	1403	473
748	1405	471
749	1407	469
750	1408	467
751	1410	465
752	1412	463
753	1414	461
754	1415	459
755	1417	457
756	1418	455
757	1420	453
758	1422	451
759	1423	449
760	1425	447
761	1427	445
762	1428	443
763	1430	441
764	1432	439
765	1433	437
766	1435	436
767	1436	434
768	1438	432
769	1440	430
770	1442	428
771	1444	426
772	1445	424
773	1447	422
774	1449	420
775	1450	418
776	1452	416
777	1453	414
778	1455	412
779	1457	411
780	1459	409
781	1460	407
782	1462	405
783	1463	403
784	1465	401
785	1466	399
786	1468	397
787	1470	395
788	1472	393
789	1473	391
790	1475	389
791	1477	387
792	1478	386
793	1480	384
794	1481	382
795	1483	380
796	1485	378
797	1487	376
798	1489	374
799	1490	372
800	1492	370
801	1494	368
802	1495	366
803	1497	365
804	1499	363
805	1501	361
806	1502	359
807	1504	357
808	1506	355
809	1508	353
810	1510	351
811	1511	350
812	1513	348
813	1515	346
814	1517	344
815	1518	342
816	1520	340
817	1522	338
818	1523	336
819	1525	334
820	1526	332
821	1528	330
822	1530	329
823	1532	327
824	1533	325
825	1535	323
826	1537	321
827	1538	319
828	1540	317
829	1541	315
830	1543	313
831	1545	311
832	1546	310
833	1548	308
834	1549	306
835	1551	304
836	1553	302
837	1554	300
838	1556	298
839	1557	296
840	1559	294
841	1561	292
842	1562	291
843	1564	289
844	1565	287
845	1567	285
846	1568	283
847	1570	281
848	1571	279
849	1573	277
850	1574	275
851	1576	273
852	1578	271
853	1579	270
854	1581	268
855	1582	266
856	1584	264
857	1586	262
858	1587	260
859	1589	258
860	1590	256
861	1592	254
862	1594	253
863	1595	251
864	1597	249
865	1598	247
866	1600	245
867	1618	246
868	1620	244
869	1622	242
870	1624	240
871	1626	238
872	1628	236
873	1630	235
874	1633	233
875	1635	231
876	1637	229
877	1639	227
878	1641	225
879	1643	224
880	1645	222
881	1647	220
882	1649	218
883	1651	216
884	1653	214
885	1655	213
886	1657	211
887	1659	209
888	1661	207
889	1663	205
890	1665	203
891	1668	201
892	1670	200
893	1672	198
894	1675	196
895	1677	194
896	1679	192
897	1681	191
898	1683	189
899	1686	187
900	1688	185
901	1690	183
902	1692	181
903	1694	179
904	1695	178
905	1697	176
906	1700	174
907	1701	172
908	1703	170
909	1705	168
910	1708	166
911	1711	165
912	1713	163
913	1715	161
914	1718	159
915	1720	157
916	1722	155
917	1724	154
918	1726	152
919	1737	151
920	1739	149
921	1741	147
922	1742	145
923	1744	143
924	1746	141
925	1748	139
926	1749	137
927	1751	135
928	1753	134
929	1755	132
930	1756	130
931	1758	128
932	1760	126
933	1762	124
934	1764	122
935	1765	120
936	1767	118
937	1769	116
938	1770	115
939	1772	113
940	1774	111
941	1775	109
942	1777	107
943	1778	105
944	1780	103
945	1782	101
946	1784	99
947	1785	97
948	1787	96
949	1788	94
950	1790	92
951	1792	90
952	1793	88
953	1795	86
954	1797	84
955	1799	82
956	1800	80
957	1802	79
958	1804	77
959	1805	75
960	1807	73
961	1808	71
962	1810	69
963	1812	67
964	1814	65
965	1816	63
966	1818	62
967	1819	60
968	1821	58
969	1822	56
970	1824	54
971	1825	52
972	1827	50
973	1829	48
974	1830	46
975	1832	45
976	1833	43
977	1835	41
978	1836	39
979	1838	37
980	1839	35
981	1841	33
982	1843	31
983	1844	29
984	1846	28
985	1847	26
986	1849	24
987	1850	22
988	1852	20
989	1853	18
990	1855	16
991	1856	14
992	1858	13
993	1859	11
994	1861	9
995	1863	7
996	1864	5
997	1866	3
998	1867	1
999	1869	0
