iter	Logloss
305	0.1151689554
306	0.1149572565
307	0.1147836978
308	0.1146249973
309	0.1144285343
310	0.1143389237
311	0.1141507112
312	0.1137812731
313	0.1135226506
314	0.1132741273
315	0.1131564412
316	0.1129237851
317	0.1126977742
318	0.1125397343
319	0.1124074581
320	0.1122324172
321	0.1120280797
322	0.1117408266
323	0.1113681222
324	0.11126258
325	0.111103299
326	0.1109764474
327	0.110851176
328	0.1106703648
329	0.1105724463
330	0.1104328342
331	0.1102621865
332	0.1101043133
333	0.110031432
334	0.1097537292
335	0.1096397364
336	0.1094350521
337	0.1093511207
338	0.1092958366
339	0.1091356943
340	0.1088994418
341	0.1087983694
342	0.1086600236
343	0.1084902443
344	0.1083072055
345	0.1080851584
346	0.1080223557
347	0.107947039
348	0.1077428278
349	0.1076537496
350	0.1073817026
351	0.1071941258
352	0.1071084484
353	0.1069197305
354	0.1067527189
355	0.1063934656
356	0.1062764918
357	0.1061874033
358	0.1060283701
359	0.1059412672
360	0.1057617468
361	0.1055225264
362	0.1053588856
363	0.1051149485
364	0.1049840957
365	0.1047800684
366	0.1047294179
367	0.1046011665
368	0.1044083032
369	0.104329911
370	0.1041657459
371	0.1038973418
372	0.1035979827
373	0.1032377553
374	0.1030453681
375	0.1028275735
376	0.1025760778
377	0.1023747462
378	0.1021870739
379	0.102105591
380	0.1018472479
381	0.1018251291
382	0.1017097064
383	0.1016118208
384	0.1014546726
385	0.101272912
386	0.1009648121
387	0.1008585174
388	0.1006263749
389	0.1004334443
390	0.100255558
391	0.1001368928
392	0.1000065385
393	0.09973240162
394	0.09965379839
395	0.09946840147
396	0.09932987745
397	0.09915055159
398	0.09905451056
399	0.09898106234
400	0.09875523346
401	0.09863379114
402	0.0985862408
403	0.09836895409
404	0.09801664168
405	0.09790934179
406	0.09785620671
407	0.09762276722
408	0.09753995185
409	0.09740741713
410	0.09724209581
411	0.09722321717
412	0.0970126022
413	0.09682039847
414	0.09668476721
415	0.09656913252
416	0.09630047004
417	0.09606925721
418	0.09588651566
419	0.09574661205
420	0.09565201273
421	0.09556096015
422	0.0954594275
423	0.09532664798
424	0.09528938219
425	0.0951746834
426	0.09500520644
427	0.09481334675
428	0.09463583898
429	0.09452213395
430	0.09442082265
431	0.09424527632
432	0.09402320639
433	0.09375425783
434	0.09358738225
435	0.09337718779
436	0.09321211066
437	0.09294597242
438	0.09281563003
439	0.09271554927
440	0.09253249106
441	0.09244081088
442	0.09229567546
443	0.09210309138
444	0.09190576051
445	0.09185824248
446	0.09171456299
447	0.09154500243
448	0.09133855917
449	0.09124309601
450	0.091091901
451	0.09099164792
452	0.09079167655
453	0.09074672328
454	0.09065221447
455	0.09054008907
456	0.09040876113
457	0.09029086806
458	0.09018865876
459	0.09001169999
460	0.08986060576
461	0.08973409455
462	0.08949882626
463	0.08935030619
464	0.08928513943
465	0.08909757346
466	0.08895981834
467	0.0889254818
468	0.08884414096
469	0.08875472606
470	0.08870762048
471	0.08861056331
472	0.08849850805
473	0.08843006148
474	0.08831121184
475	0.08813635894
476	0.08793221408
477	0.08773272485
478	0.08768108288
479	0.0875042135
480	0.08731490559
481	0.08721580152
482	0.08687266261
483	0.08671221861
484	0.08655185806
485	0.0863484089
486	0.08618398825
487	0.08600694734
488	0.08593502929
489	0.08590108445
490	0.08583480749
491	0.08570698188
492	0.08551003939
493	0.08536229917
494	0.08523502046
495	0.0849889635
496	0.08485146459
497	0.08474787203
498	0.08451349606
499	0.08438264241
500	0.08431863859
501	0.08416439852
502	0.08404321964
503	0.08391075647
504	0.08374752934
505	0.0836499465
506	0.08351596981
507	0.0834800562
508	0.08330091893
509	0.08318970253
510	0.08308592216
511	0.08288082545
512	0.08271201204
513	0.0826235826
514	0.08256927765
515	0.08252046287
516	0.08248047834
517	0.08241479047
518	0.08232789127
519	0.08212513674
520	0.08204285203
521	0.08197393191
522	0.08185623652
523	0.08176887707
524	0.08169954649
525	0.0816637924
526	0.08151580044
527	0.08136026088
528	0.08125889044
529	0.08116534973
530	0.08106464093
531	0.08090805115
532	0.08076469374
533	0.08056047355
534	0.08051501989
535	0.08036121145
536	0.08023936885
537	0.0801646522
538	0.08009303733
539	0.07986644736
540	0.07977854855
541	0.07969125106
542	0.07962590423
543	0.07957445163
544	0.07951099542
545	0.07933582899
546	0.07923354023
547	0.07910691938
548	0.07897962362
549	0.07881688661
550	0.07877960729
551	0.07868549074
552	0.07858344156
553	0.07843750986
554	0.0783542926
555	0.07828985925
556	0.07818459311
557	0.07808257675
558	0.07788615362
559	0.0777773689
560	0.07764977561
561	0.07758380216
562	0.07753199866
563	0.07742018582
564	0.07730992556
565	0.07708638439
566	0.07702650349
567	0.07692955267
568	0.07679631134
569	0.07673589808
570	0.07648785273
571	0.07633493298
572	0.07628087819
